Item,Description,Quantity,Date of Restock,
Hard Copy A4,Bond Paper,45,06/01/2023
Hard Copy Letter,Bond Paper,45,06/01/2023
Hard Copy Legal,Bond Paper,45,06/01/2023
Absolute 500ml,Bottled Water,240,06/02/2023
Panda Red Ballpen,Ballpen,95,06/03/2023
Panda Blue Ballpen,Ballpen,95,06/03/2023
Panda Black Ballpen,Ballpen,95,06/03/2023
Black Whiteboard Marker,Whiteboard Marker,50,06/04/2023
Red Whiteboard Marker,Whiteboard Marker,50,06/04/2023
Scotch Scissors,Scissors,50,06/05/2023
Mongol 2,Pencil,150,06/06/2023
Mongol Eraser,Eraser,150,06/06/2023
Dong-A Correction Tape,Correction Tape,70,06/06/2023
A6 Green Apple,Notebook,190,06/07/2023
Joy  Stapler (35),Stapler,50,06/07/2023
Stabilo Green,Highlighter,50,06/07/2023
Stabilo Orange,Highlighter,50,06/07/2023
Stabilo Yellow,Highlighter,50,06/07/2023
HBW Puncher,Puncher,45,06/08/2023
Joy Assorted Fastener,Fastener,300,06/08/2023
Scotch Clear Tape ,Tape 2" X 100m,100,06/08/2023
Scotch Masking Tape ,Tape 25mm X 50m,100,06/08/2023
White Folder (Letter),Best buy Folder,500,06/08/2023
White Folder (Legal),Best buy Folder,500,06/08/2023
Casio Basic Calculator,Calculator,250,06/09/2023
Brown Envelope (Letter),Envelope,250,06/09/2023
Brown Envelope (Legal),Envelope,225,06/09/2023
Iphone 14 (500GB),Smartphone,100,06/10/2023
Iphone 15 (500GB),Smartphone,100,07/30/2023
Iphone 15 (256GB),Smartphone,99,07/30/2023
Iphone 15 (128GB),Smartphone,100,07/30/2023
